iter	Passed	Remaining
0	3449	3446134
1	7080	3533125
2	11511	3825653
3	17109	4260142
4	20628	4105169
5	25747	4265569
6	30990	4396159
7	35391	4388544
8	40090	4414404
9	44998	4454830
10	49289	4431582
11	54166	4459738
12	59065	4484462
13	66497	4683356
14	71676	4706733
15	77042	4738100
16	82266	4756942
17	87432	4769950
18	92376	4769546
19	98529	4827927
20	103618	4830585
21	110018	4890820
22	116282	4939478
23	121285	4932262
24	127694	4980090
25	135431	5073462
26	144086	5192456
27	147363	5115602
28	151660	5078022
29	156560	5062132
30	161704	5054564
31	166325	5031354
32	170691	5001787
33	174945	4970522
34	179099	4938041
35	183355	4909862
36	188488	4905800
37	192742	4879439
38	198118	4881833
39	202684	4864420
40	207840	4861429
41	212304	4842569
42	217506	4840775
43	222483	4833950
44	227614	4830495
45	232525	4822373
46	237658	4818909
47	242712	4813797
48	246890	4791683
49	251766	4783569
50	257290	4787623
51	263511	4804009
52	267787	4784806
53	272598	4775517
54	276709	4754363
55	281095	4738472
56	285752	4727445
57	290041	4710666
58	294580	4698315
59	299402	4690646
60	305335	4700167
61	310768	4701623
62	315257	4688825
63	319711	4675780
64	325233	4678360
65	329776	4666843
66	334077	4652147
67	339141	4648233
68	344218	4644458
69	349918	4648914
70	355373	4649884
71	359739	4636646
72	363793	4619674
73	368303	4608772
74	372958	4599821
75	378122	4597172
76	383500	4597021
77	388599	4593442
78	392842	4579848
79	397108	4566744
80	402552	4567227
81	414975	4645702
82	423174	4675313
83	429676	4685519
84	434641	4678789
85	439119	4666921
86	442339	4642022
87	446094	4623158
88	451095	4617394
89	457627	4627121
90	463804	4632951
91	467159	4610660
92	470647	4590075
93	475768	4585598
94	479857	4571273
95	483834	4556109
96	488377	4546445
97	493320	4540561
98	498231	4534411
99	504542	4540878
100	508097	4522569
101	511406	4502386
102	515973	4493475
103	522249	4499384
104	528305	4503175
105	533794	4502001
106	538459	4493870
107	545893	4508678
108	550993	4503994
109	555937	4498036
110	560592	4489786
111	568536	4507685
112	576825	4527826
113	581525	4519572
114	586002	4509670
115	590957	4503500
116	596268	4500044
117	601712	4497547
118	607498	4497534
119	612709	4493203
120	618042	4489747
