iter	Passed	Remaining
0	82	81963
1	95	47669
2	114	38105
3	135	33640
4	152	30415
5	168	27913
6	180	25662
7	198	24562
8	217	23904
9	235	23322
10	246	22165
11	261	21562
12	270	20503
13	283	19960
14	308	20250
15	314	19367
16	336	19434
17	348	19019
18	355	18351
19	363	17815
20	374	17482
21	392	17467
22	408	17348
23	421	17151
24	435	16967
25	448	16793
26	461	16629
27	467	16244
28	482	16166
29	496	16046
30	509	15910
31	513	15545
32	526	15435
33	544	15456
34	559	15420
35	576	15445
36	588	15320
37	601	15237
38	614	15148
39	630	15131
40	647	15134
41	660	15075
42	674	15011
43	683	14854
44	701	14888
45	716	14858
46	741	15026
47	754	14974
48	770	14962
49	782	14871
50	800	14901
51	818	14916
52	823	14719
53	843	14775
54	859	14766
55	872	14708
56	896	14827
57	907	14743
58	919	14659
59	934	14639
60	952	14663
61	969	14663
62	987	14684
63	1006	14714
64	1021	14688
65	1039	14717
66	1054	14685
67	1060	14533
68	1077	14533
69	1095	14550
70	1114	14577
71	1128	14549
72	1146	14563
73	1161	14539
74	1180	14565
75	1192	14503
76	1216	14580
77	1239	14648
78	1258	14668
79	1265	14550
80	1271	14424
81	1295	14499
82	1315	14531
83	1350	14729
84	1375	14804
85	1394	14817
86	1411	14815
87	1431	14838
88	1450	14847
89	1467	14840
90	1474	14730
91	1488	14687
92	1506	14693
93	1517	14630
94	1536	14635
95	1556	14652
96	1572	14642
97	1584	14583
98	1603	14597
99	1622	14605
100	1638	14582
101	1646	14498
102	1660	14461
103	1673	14417
104	1686	14379
105	1698	14328
106	1709	14270
107	1755	14503
108	1791	14641
109	1809	14637
110	1827	14633
111	1855	14712
112	1869	14671
113	1882	14628
114	1894	14581
115	1907	14536
116	1920	14490
117	1936	14471
118	1953	14461
119	1969	14441
120	1973	14333
121	1990	14322
122	2003	14288
123	2023	14294
124	2037	14265
125	2056	14264
126	2074	14262
127	2083	14194
128	2101	14192
129	2106	14097
130	2119	14059
131	2139	14070
132	2160	14081
133	2175	14059
134	2191	14039
135	2202	13994
136	2221	13992
137	2235	13963
138	2242	13888
139	2260	13885
140	2268	13820
141	2284	13801
142	2301	13790
143	2318	13779
144	2335	13773
145	2353	13767
146	2367	13738
147	2382	13713
148	2393	13672
149	2406	13635
150	2418	13598
151	2431	13563
152	2443	13529
153	2459	13509
154	2472	13478
155	2485	13445
156	2503	13444
157	2509	13374
158	2527	13366
159	2543	13351
160	2558	13330
161	2571	13301
162	2584	13273
163	2597	13242
164	2611	13214
165	2624	13185
166	2638	13158
167	2651	13130
168	2664	13100
169	2678	13075
170	2695	13066
171	2728	13134
172	2743	13116
173	2756	13085
174	2769	13054
175	2781	13021
176	2794	12991
177	2797	12917
178	2803	12859
179	2816	12829
180	2829	12802
181	2842	12773
182	2860	12769
183	2877	12759
184	2894	12749
185	2907	12724
186	2920	12698
187	2935	12679
188	2948	12652
189	2972	12672
190	2985	12645
191	2998	12617
192	3011	12590
193	3039	12626
194	3056	12618
195	3072	12604
196	3086	12580
197	3100	12556
198	3112	12529
199	3126	12505
200	3143	12494
201	3157	12474
202	3176	12470
203	3193	12459
204	3210	12449
205	3224	12427
206	3242	12421
207	3258	12407
208	3274	12392
209	3288	12370
210	3304	12357
211	3308	12299
212	3322	12274
213	3337	12258
214	3350	12234
215	3363	12209
216	3368	12155
217	3380	12127
218	3394	12103
219	3412	12099
220	3431	12096
221	3446	12078
222	3461	12060
223	3473	12034
224	3487	12011
225	3502	11995
226	3516	11976
